subject,trial,emg_file,label,top_k,top_channels,top_ratio,sig_count,sig_channels,sig_ratio,top_mean,rest_mean,mean_ratio,mean_to_median
(02)Bosco,trial 2,PaPi13112025_154310_M02DA1_EMG_raw.sig,Wrist Extension,5,15;16;17;18;14,0.3424750924852297,2,15;16,0.16448015954801834,0.0002398751992645658,8.528542262790441e-05,2.812616645064046,1.4092186186528097
(02)Bosco,trial 3,PaPi13112025_154842_M02DA1_EMG_raw.sig,Wrist Extension,5,16;15;17;1;18,0.280459356480648,2,15;16,0.1260070194968045,0.00021862818192108923,0.00010387182939274442,2.1047880180722096,1.2515854769887138
(02)Bosco,trial 4,PaPi13112025_155541_M02DA1_EMG_raw.sig,Wrist Extension,5,15;14;16;17;18,0.27680244750391514,3,14;15;16,0.18271939598015474,0.0001854482505600571,8.972552388436005e-05,2.0668394290911727,1.203622960805657
(02)Bosco,trial 5,PaPi13112025_160106_M02DA1_EMG_raw.sig,Wrist Extension,5,15;16;14;17;18,0.3353838483730162,2,15;16,0.16101958503329716,0.00023009805526680963,8.443994386892925e-05,2.7249906232052474,1.4530681725573387
(02)Bosco,trial 6,PaPi13112025_160818_M02DA1_EMG_raw.sig,Wrist Extension,5,15;16;14;17;18,0.29169019552684045,3,14;15;16,0.1942121020502214,0.0001791579762126673,8.056451740201321e-05,2.2237826525873334,1.2270649903656579
(02)Bosco,trial 7,PaPi13112025_161447_M02DA1_EMG_raw.sig,Wrist Extension,5,15;14;16;17;18,0.3199748611637722,3,14;15;16,0.21257628106858645,0.00018703627340355803,7.361074098716523e-05,2.5408829050663906,1.363441721102086
(02)Bosco,trial 8,PaPi13112025_162007_M02DA1_EMG_raw.sig,Wrist Extension,5,16;15;17;18;14,0.3390543274995858,2,15;16,0.16720362404747705,0.0002488911255720533,8.984876738374994e-05,2.770111742424057,1.3331663818206116
(03)Manon,trial 1,PaPi14112025_162834_M02DA1_EMG_raw.sig,Wrist Extension,5,20;21;19;22;18,0.28840492281207764,3,19;20;21,0.19445273292653065,0.00028470624678449537,0.00013008688134588997,2.188585381084551,1.1757943300167664
(03)Manon,trial 2,PaPi14112025_163511_M02DA1_EMG_raw.sig,Wrist Extension,5,19;18;20;21;17,0.30443529424857724,3,18;19;20,0.2126620387428594,0.00023467783919415295,9.929350873646497e-05,2.3634761444175743,1.2000162739131808
(03)Manon,trial 3,PaPi14112025_163849_M02DA1_EMG_raw.sig,Wrist Extension,5,20;19;21;18;22,0.31009477075082165,3,19;20;21,0.21423647214488162,0.0002729505973213827,0.00011245668659124471,2.427162008725173,1.1862978264627086
